property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
a4bf53c9-c128-4bf7-a243-8627c7d47444,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
3e08def6-6a1d-409b-a575-86f2535d2a68,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
9ce9c247-21ee-4305-897d-01dae4eeb86d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
3f8f4020-1f9d-45dc-8563-e4e88951616a,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
ed488851-6f3c-4039-87d1-64f54fd18be4,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
c8ecd123-1d32-4b9a-8ced-8b61982bcd6a,21bf1151-5f2b-4f20-8674-8c7fc6581d99,67 Roanoke ave,,Phoenix,AZ,85004,67 Roanoke ave Phoenix AZ 85004,67 85004 ave az phoenix roanoke,Apartment
f9e7b461-e180-474c-85e5-c088745c4651,21bf1151-5f2b-4f20-8674-8c7fc6581d99,4711 15th Street,,Phoenix,AZ,85014,4711 15th Street Phoenix AZ 85014,15th 4711 85014 az phoenix street,Apartment
b7f8e338-ad90-4180-88fb-8888110c4b07,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
dde76acf-eaca-47c1-b819-2d3258bf51ae,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
06649866-926c-4fa3-b7ff-4d60addd77ed,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d027e287-ea69-4291-bc73-6aebd6385c3d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
9c956812-fdf6-447d-b2a4-5a17bc1a8589,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d41e2a59-963f-4f1b-ac4b-d94860d2bbbb,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
56fc7d55-9105-499b-b0b7-938fa41ff8cd,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
522a0eb5-21a9-495e-909a-25a5822b3785,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
e8da010f-46af-488d-a42f-e281fae7bd8d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d5bc2cc0-3601-427e-9f4b-db2ce4d0fcb6,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
aa53e387-683f-4fe6-9077-755c38415836,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
